stop_id,stop_name,stop_lat,stop_lon,stop_code,stop_desc,zone_id,location_type,parent_station,wheelchair_boarding,stop_timezone
70003,140th Ave NE & NE 175th St,47.754204,-122.152870,,,19,,,,America/Los_Angeles
70004,NE 171st St & 140th Ave NE,47.751564,-122.153122,,,19,,,,America/Los_Angeles
70005,NE Woodinville Dr & Brickyard Rd NE,47.755707,-122.175873,,,19,,,,America/Los_Angeles
70006,NE Woodinville Dr & Brickyard Rd NE,47.755394,-122.175415,,,19,,,,America/Los_Angeles
70007,131st Ave NE & NE 175th St,47.754234,-122.165451,,,19,,,,America/Los_Angeles
70008,140th Ave NE & NE 171st St,47.751789,-122.152573,,,19,,,,America/Los_Angeles
70010,68th Ave NE & Inglewood Rd NE,47.752197,-122.249886,,,19,,,,America/Los_Angeles
70020,68th Ave NE & NE 175th St,47.757408,-122.249680,,,19,,,,America/Los_Angeles
70022,68th Ave NE & NE Bothell Way,47.758980,-122.249626,,,19,,,,America/Los_Angeles
70029,NE 2nd St & 126th Ave NE,47.612206,-122.172104,,,19,,,,America/Los_Angeles
70032,124th Ave NE & NE 5th St,47.614078,-122.175026,,,19,,,,America/Los_Angeles
70035,128th Ave NE & Main St,47.609997,-122.169510,,,19,,,,America/Los_Angeles
70039,128th Ave SE & SE 7th Pl,47.603989,-122.169495,,,19,,,,America/Los_Angeles
70040,Juanita Woodinville Way NE & 115th Ave NE,47.741261,-122.189034,,,19,,,,America/Los_Angeles
70060,Juanita Woodinville Way NE & NE 149th St,47.735493,-122.193375,,,19,,,,America/Los_Angeles
70070,Juanita Woodinville Way NE & NE 145th St,47.732555,-122.195709,,,19,,,,America/Los_Angeles
70080,Juanita Woodinville Way NE & NE 143rd Pl,47.730549,-122.197517,,,19,,,,America/Los_Angeles
70090,Juanita Woodinville Way NE & NE 141st Pl,47.727753,-122.200256,,,19,,,,America/Los_Angeles
7010,Aurora Ave N & N 125th St,47.719902,-122.345047,,,1,,,,America/Los_Angeles
70100,Juanita Woodinville Way NE & NE 140th St,47.725441,-122.202606,,,19,,,,America/Los_Angeles
70110,Juanita Woodinville Way NE & NE 137th Pl,47.723568,-122.204453,,,19,,,,America/Los_Angeles
70120,Juanita Woodinville Way NE & NE 136th Pl,47.722462,-122.205505,,,19,,,,America/Los_Angeles
70130,100th Ave NE & NE 132nd St,47.717865,-122.207855,,,19,,,,America/Los_Angeles
70140,100th Ave NE & NE 128th St,47.714951,-122.207886,,,19,,,,America/Los_Angeles
70150,100th Ave NE & NE 124th St,47.710930,-122.207939,,,19,,,,America/Los_Angeles
70151,NE 124th St & 100th Ave NE,47.711155,-122.207253,,,19,,,,America/Los_Angeles
70160,NE 120th Pl & NE 122nd St,47.709221,-122.208946,,,19,,,,America/Los_Angeles
70164,98th Ave NE & NE 117th St,47.706795,-122.210602,,,19,,,,America/Los_Angeles
70170,98th Ave NE & NE Juanita Dr,47.703426,-122.210495,,,19,,,,America/Los_Angeles
70180,98th Ave NE & NE 116th St,47.704712,-122.210327,,,19,,,,America/Los_Angeles
70184,98th Ave NE & NE 119th Way,47.706940,-122.210396,,,19,,,,America/Los_Angeles
70190,NE 120th Pl & 100th Ave NE,47.709164,-122.208733,,,19,,,,America/Los_Angeles
70200,100th Ave NE & NE 124th St,47.711529,-122.207718,,,19,,,,America/Los_Angeles
70210,100th Ave NE & NE 128th St,47.715466,-122.207680,,,19,,,,America/Los_Angeles
70220,100th Ave NE & NE 132nd St,47.718819,-122.207664,,,19,,,,America/Los_Angeles
70230,Juanita Woodinville Way NE & NE 136th Pl,47.722813,-122.204933,,,19,,,,America/Los_Angeles
70240,Juanita Woodinville Way NE & NE 137th Pl,47.723900,-122.203896,,,19,,,,America/Los_Angeles
70250,Juanita Woodinville Way NE & NE 140th St,47.725513,-122.202278,,,19,,,,America/Los_Angeles
70260,Juanita Woodinville Way NE & NE 141st Pl,47.727753,-122.200012,,,19,,,,America/Los_Angeles
70270,Juanita Woodinville Way NE & 108th Ave NE,47.730946,-122.196899,,,19,,,,America/Los_Angeles
70280,Juanita Woodinville Way NE & NE 145th St,47.733288,-122.194893,,,19,,,,America/Los_Angeles
70290,Juanita Woodinville Way NE & NE 149th St,47.735542,-122.193085,,,19,,,,America/Los_Angeles
70310,Juanita Woodinville Way NE & 115th Ave NE,47.740597,-122.189110,,,19,,,,America/Los_Angeles
70311,Brickyard Rd NE & E Riverside Dr,47.756245,-122.180412,,,19,,,,America/Los_Angeles
70312,Brickyard Rd NE & NE Woodinville Dr,47.756020,-122.180222,,,19,,,,America/Los_Angeles
70313,Brickyard Rd NE & Woodcrest Dr NE,47.754379,-122.180031,,,19,,,,America/Los_Angeles
70314,Brickyard Rd NE & Woodcrest Dr NE,47.754349,-122.179794,,,19,,,,America/Los_Angeles
