"","Offense Type","Offense Description","Date Reported","Month","Year","Longitude","Latitude"
"294","VEH-THEFT-AUTO","Vehicle theft",NA,2,2018,-122.305541992,47.585502625
"295","THEFT-SHOPLIFT","Shoplifting",NA,2,2018,-122.354751587,47.624576569
"296","THEFT-LICENSE PLATE","Other property",NA,2,2018,-122.352912903,47.720500946
"297","THEFT-LICENSE PLATE","Other property",NA,2,2018,-122.352912903,47.720500946
"298","THEFT-LICENSE PLATE","Other property",NA,2,2018,-122.352912903,47.720500946
"299","THEFT-LICENSE PLATE","Other property",NA,2,2018,-122.352912903,47.720500946
"300","THEFT-CARPROWL","Car prowl",NA,2,2018,-122.292602539,47.547080994
"301","THEFT-LICENSE PLATE","Other property",NA,2,2018,-122.352912903,47.720500946
"302","THEFT-LICENSE PLATE","Other property",NA,2,2018,-122.352912903,47.720500946
"303","THEFT-BUILDING","Other property",NA,2,2018,-122.3384552,47.618331909
"304","THEFT-BUILDING","Other property",NA,2,2018,-122.3384552,47.618331909
"305","THEFT-BUILDING","Other property",NA,2,2018,-122.3384552,47.618331909
"306","THEFT-BUILDING","Other property",NA,2,2018,-122.3384552,47.618331909
"307","THEFT-BUILDING","Other property",NA,2,2018,-122.3384552,47.618331909
"308","THEFT-BUILDING","Other property",NA,2,2018,-122.3384552,47.618331909
"309","BURGLARY-NOFORCE-RES","Burglary",NA,2,2018,-122.382171631,47.685928345
"310","BURGLARY-NOFORCE-RES","Burglary",NA,2,2018,-122.382171631,47.685928345
"311","THEFT-BUILDING","Other property",NA,2,2018,-122.3384552,47.618331909
"312","BURGLARY-NOFORCE-RES","Burglary",NA,2,2018,-122.382171631,47.685928345
"313","THEFT-BUILDING","Other property",NA,2,2018,-122.3384552,47.618331909
"314","BURGLARY-NOFORCE-RES","Burglary",NA,2,2018,-122.384658813,47.647518158
"315","BURGLARY-NOFORCE-RES","Burglary",NA,2,2018,-122.384658813,47.647518158
"316","BURGLARY-NOFORCE-RES","Burglary",NA,2,2018,-122.384658813,47.647518158
"317","BURGLARY-NOFORCE-RES","Burglary",NA,2,2018,-122.384658813,47.647518158
"318","BURGLARY-NOFORCE-RES","Burglary",NA,2,2018,-122.384658813,47.647518158
"319","BURGLARY-NOFORCE-RES","Burglary",NA,2,2018,-122.384658813,47.647518158
